steam_id,app_id,playtime_forever
76561197961467435,730,40615
76561197961467435,397900,137
76561197961467435,466240,52
76561197961467435,1474700,137
76561197961467435,1590320,70
76561197961467435,1782210,77
76561197961467435,1787090,20
76561198067810106,4000,1460
76561198067810106,10,34692
76561198067810106,60,14
76561198067810106,80,321
76561198067810106,240,660
76561198067810106,550,4141
76561198067810106,42120,97
76561198067810106,24960,1206
76561198067810106,91200,120
76561198067810106,105600,368
76561198067810106,201700,60
76561198067810106,211050,191
76561198067810106,730,179479
76561198067810106,1930,335
76561198067810106,227300,661
76561198067810106,208090,316
76561198067810106,230410,84
76561198067810106,238960,5
76561198067810106,223710,64
76561198067810106,251670,37
76561198067810106,224260,112
76561198067810106,239220,142
76561198067810106,224220,102
76561198067810106,44350,533
76561198067810106,251570,1058
76561198067810106,253900,101
76561198067810106,253960,127
76561198067810106,253980,129
76561198067810106,49520,2591
76561198067810106,238910,101
76561198067810106,257710,14
76561198067810106,267980,194
76561198067810106,273110,10
76561198067810106,222880,965
76561198067810106,282660,58
76561198067810106,286120,254
76561198067810106,293180,101
76561198067810106,297020,181
76561198067810106,301520,14
76561198067810106,304930,1455
76561198067810106,63380,763
76561198067810106,291480,329
76561198067810106,227940,46
76561198067810106,287450,1506
76561198067810106,24240,164
76561198067810106,332970,12
76561198067810106,335430,101
76561198067810106,339160,136
76561198067810106,343360,333
76561198067810106,346900,8
76561198067810106,307780,254
76561198067810106,379290,101
76561198067810106,386360,719
76561198067810106,389570,10
76561198067810106,403740,242
76561198067810106,359550,747
76561198067810106,431960,990
76561198067810106,433850,317
76561198067810106,502550,1
76561198067810106,292030,841
76561198067810106,550650,812
76561198067810106,552990,809
76561198067810106,578080,4005
76561198067810106,506540,8
76561198067810106,218620,3490
76561198067810106,675010,262
76561198067810106,239140,1523
76561198067810106,760160,246
76561198067810106,813820,42
76561198067810106,552520,950
76561198067810106,304390,783
76561198067810106,581320,217
76561198067810106,1046930,57
76561198067810106,1085660,539
76561198067810106,1172470,1981
76561198067810106,1287260,107
76561198067810106,1474700,109
76561198229455804,4000,18
76561198229455804,550,30
76561198229455804,24240,77
76561198229455804,104900,6
76561198229455804,263980,6
76561198229455804,222880,266
76561198229455804,304930,260
76561198229455804,291480,74
76561198229455804,730,88551
76561198229455804,356670,8
76561198229455804,375710,10
76561198229455804,386360,72
76561198229455804,291550,2
76561198229455804,398210,15
76561198229455804,747610,6
76561198229455804,915320,35
